Ngày; close 
07/12/2020;992,01
08/12/2020;993,61
09/12/2020;1.004,03
10/12/2020;994,28
11/12/2020;1.008,65
14/12/2020;1.024,28
15/12/2020;1.013,02
16/12/2020;1.029,72
17/12/2020;1.016,95
18/12/2020;1.036,65
21/12/2020;1.049,71
22/12/2020;1.052,23
23/12/2020;1.045,70
24/12/2020;1.033,95
25/12/2020;1.052,13
28/12/2020;1.054,23
29/12/2020;1.058,39
30/12/2020;1.059,16
31/12/2020;1.070,77
04/01/2021;1.091,87
05/01/2021;1.104,30
06/01/2021;1.113,72
07/01/2021;1.130,59
08/01/2021;1.147,86
11/01/2021;1.163,40
12/01/2021;1.169,03
13/01/2021;1.164,57
14/01/2021;1.168,99
15/01/2021;1.182,20
18/01/2021;1.173,34
19/01/2021;1.107,32
20/01/2021;1.116,21
21/01/2021;1.151,30
22/01/2021;1.156,58
25/01/2021;1.154,29
26/01/2021;1.125,09
27/01/2021;1.083,63
28/01/2021;1.010,75
29/01/2021;1.048,31
01/02/2021;1.029,86
02/02/2021;1.079,70
03/02/2021;1.117,98
04/02/2021;1.117,74
05/02/2021;1.135,50
08/02/2021;1.092,59
09/02/2021;1.129,49
17/02/2021;1.174,91
18/02/2021;1.187,94
19/02/2021;1.180,59
22/02/2021;1.180,55
23/02/2021;1.182,47
24/02/2021;1.167,18
25/02/2021;1.169,82
26/02/2021;1.173,60
01/03/2021;1.191,83
02/03/2021;1.194,71
03/03/2021;1.195,60
04/03/2021;1.174,29
05/03/2021;1.173,83
08/03/2021;1.170,00
09/03/2021;1.163,00
10/03/2021;1.172,26
11/03/2021;1.188,71
12/03/2021;1.187,81
15/03/2021;1.190,86
16/03/2021;1.187,84
17/03/2021;1.193,45
18/03/2021;1.211,54
19/03/2021;1.203,36
22/03/2021;1.198,54
23/03/2021;1.186,98
24/03/2021;1.165,61
25/03/2021;1.164,64
26/03/2021;1.167,19
29/03/2021;1.180,07
30/03/2021;1.190,86
31/03/2021;1.196,24
01/04/2021;1.226,16
02/04/2021;1.238,03
05/04/2021;1.249,90
06/04/2021;1.255,36
07/04/2021;1.257,77
08/04/2021;1.251,81
09/04/2021;1.253,26
12/04/2021;1.278,19
13/04/2021;1.277,35
14/04/2021;1.290,77
15/04/2021;1.284,20
16/04/2021;1.276,87
19/04/2021;1.306,22
20/04/2021;1.312,68
22/04/2021;1.271,53
23/04/2021;1.301,39
26/04/2021;1.275,04
27/04/2021;1.283,81
28/04/2021;1.294,06
29/04/2021;1.312,28
04/05/2021;1.328,03
05/05/2021;1.346,89
06/05/2021;1.344,64
07/05/2021;1.340,73
10/05/2021;1.370,66
11/05/2021;1.359,19
12/05/2021;1.380,17
13/05/2021;1.370,18
14/05/2021;1.380,02
17/05/2021;1.371,36
18/05/2021;1.378,59
19/05/2021;1.401,71
20/05/2021;1.424,92
21/05/2021;1.425,04
24/05/2021;1.430,48
25/05/2021;1.444,01
26/05/2021;1.455,11
27/05/2021;1.437,38
28/05/2021;1.458,78
31/05/2021;1.474,78
01/06/2021;1.482,92
02/06/2021;1.478,85
03/06/2021;1.504,37
04/06/2021;1.508,35
07/06/2021;1.484,10
08/06/2021;1.438,97
09/06/2021;1.457,76
10/06/2021;1.451,18
11/06/2021;1.487,61
14/06/2021;1.495,51
15/06/2021;1.487,04
16/06/2021;1.465,58
17/06/2021;1.461,91
18/06/2021;1.481,30
21/06/2021;1.478,29
22/06/2021;1.489,24
23/06/2021;1.489,53
24/06/2021;1.486,96
25/06/2021;1.500,30
28/06/2021;1.521,41
29/06/2021;1.529,97
30/06/2021;1.529,00
01/07/2021;1.545,14
02/07/2021;1.554,59
05/07/2021;1.557,41
06/07/2021;1.488,42
07/07/2021;1.538,77
08/07/2021;1.521,21
09/07/2021;1.494,43
12/07/2021;1.443,10
13/07/2021;1.440,87
14/07/2021;1.410,30
15/07/2021;1.430,29
16/07/2021;1.438,05
19/07/2021;1.374,15
20/07/2021;1.411,02
21/07/2021;1.406,54
22/07/2021;1.428,48
23/07/2021;1.401,53
26/07/2021;1.403,96
27/07/2021;1.409,85
28/07/2021;1.407,50
29/07/2021;1.427,55
30/07/2021;1.447,23
02/08/2021;1.448,21
03/08/2021;1.469,87
04/08/2021;1.472,20
05/08/2021;1.486,46
06/08/2021;1.476,79
09/08/2021;1.497,83
10/08/2021;1.494,41
11/08/2021;1.487,91
12/08/2021;1.477,06
13/08/2021;1.484,25
16/08/2021;1.500,77
17/08/2021;1.494,12
18/08/2021;1.489,54
19/08/2021;1.505,01
20/08/2021;1.450,45
23/08/2021;1.412,00
24/08/2021;1.418,26
25/08/2021;1.428,51
26/08/2021;1.412,45
27/08/2021;1.418,57
